model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=241,
                    random_state=42)",0.9909523809523809,0.5855555555555556,0.5364285714285714,0.01717919429290231,0.4053968253968253,"{'n_estimators': 241, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",634.5684647302904,10.0,317.7842323651452,152931,76586,10,241
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=271,
                    random_state=42)",0.9904761904761905,0.5727777777777778,0.5402380952380952,0.018556159779427324,0.4176984126984127,"{'n_estimators': 271, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",633.1254612546126,10.0,317.0627306273063,171577,85924,10,271
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=301,
                    random_state=42)",0.99,0.5738888888888889,0.540952380952381,0.02098212174939838,0.4161111111111111,"{'n_estimators': 301, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",632.1960132890365,10.0,316.59800664451825,190291,95296,10,301
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=331,
                    random_state=42)",0.9902380952380953,0.5805555555555556,0.5414285714285715,0.015327120894696254,0.40968253968253965,"{'n_estimators': 331, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",632.3716012084592,10.0,316.6858006042296,209315,104823,10,331
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=1,
                    random_state=42)",0.5366666666666666,0.29888888888888887,0.2885714285714286,0.009482051310352315,0.23777777777777775,"{'n_estimators': 1, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1003.0,12.0,502.0,1003,502,12,1
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=31,
                    random_state=42)",0.9873809523809524,0.48277777777777775,0.44142857142857145,0.00926432212302082,0.5046031746031746,"{'n_estimators': 31, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1107.0645161290322,12.0,554.0322580645161,34319,17175,12,31
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=61,
                    random_state=42)",0.9973809523809524,0.5361111111111111,0.4830952380952381,0.012265949402277376,0.4612698412698413,"{'n_estimators': 61, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1114.672131147541,12.0,557.8360655737705,67995,34028,12,61
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=91,
                    random_state=42)",0.9990476190476191,0.5683333333333334,0.5109523809523809,0.014013275209106823,0.4307142857142857,"{'n_estimators': 91, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1108.3186813186812,12.0,554.6593406593406,100857,50474,12,91
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=121,
                    random_state=42)",0.9995238095238095,0.5633333333333334,0.5273809523809524,0.015133570078162586,0.43619047619047613,"{'n_estimators': 121, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1111.1157024793388,12.0,556.0578512396694,134445,67283,12,121
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=151,
                    random_state=42)",1.0,0.5772222222222222,0.5373809523809523,0.01320516630844005,0.4227777777777778,"{'n_estimators': 151, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",1109.7019867549668,12.0,555.3509933774834,167565,83858,12,151
