model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=11,
                    random_state=42)",0.9521428571428572,0.6083333333333333,0.5942857142857142,0.02265535932450528,0.3438095238095239,"{'n_estimators': 11, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",387.0,10.0,194.0,4257,2134,10,11
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=21,
                    random_state=42)",0.9664285714285714,0.6233333333333333,0.635,0.02685942239566168,0.3430952380952381,"{'n_estimators': 21, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",384.7142857142857,10.0,192.85714285714286,8079,4050,10,21
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=31,
                    random_state=42)",0.975,0.6366666666666667,0.6564285714285714,0.02362547915505891,0.33833333333333326,"{'n_estimators': 31, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",378.741935483871,10.0,189.8709677419355,11741,5886,10,31
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=41,
                    random_state=42)",0.9807142857142858,0.665,0.6621428571428571,0.02364706479606696,0.3157142857142857,"{'n_estimators': 41, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",384.4634146341463,10.0,192.73170731707316,15763,7902,10,41
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=51,
                    random_state=42)",0.9821428571428571,0.68,0.6657142857142857,0.021969366427471004,0.30214285714285705,"{'n_estimators': 51, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",383.5098039215686,10.0,192.2549019607843,19559,9805,10,51
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=61,
                    random_state=42)",0.9871428571428571,0.6783333333333333,0.6642857142857143,0.019298937265866116,0.30880952380952376,"{'n_estimators': 61, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",384.344262295082,10.0,192.672131147541,23445,11753,10,61
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=71,
                    random_state=42)",0.985,0.69,0.6649999999999999,0.009422075684480663,0.29500000000000004,"{'n_estimators': 71, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",383.19718309859155,10.0,192.09859154929578,27207,13639,10,71
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=81,
                    random_state=42)",0.9871428571428571,0.6833333333333333,0.6699999999999999,0.017728105208558387,0.30380952380952375,"{'n_estimators': 81, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",381.12345679012344,10.0,191.06172839506172,30871,15476,10,81
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=91,
                    random_state=42)",0.9864285714285714,0.69,0.6678571428571428,0.019032732277820343,0.2964285714285715,"{'n_estimators': 91, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",382.7802197802198,10.0,191.8901098901099,34833,17462,10,91
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=1,
                    random_state=42)",0.7635714285714286,0.48833333333333334,0.4692857142857143,0.03729364994916176,0.2752380952380952,"{'n_estimators': 1, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",549.0,12.0,275.0,549,275,12,1
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=11,
                    random_state=42)",0.9764285714285714,0.5916666666666667,0.5878571428571429,0.033926691677251195,0.38476190476190475,"{'n_estimators': 11, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",540.4545454545455,12.0,270.72727272727275,5945,2978,12,11
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=21,
                    random_state=42)",0.995,0.6033333333333334,0.6364285714285713,0.02318954725821133,0.3916666666666666,"{'n_estimators': 21, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",529.2857142857143,12.0,265.14285714285717,11115,5568,12,21
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=31,
                    random_state=42)",0.9978571428571429,0.6366666666666667,0.6478571428571428,0.023211538298959885,0.3611904761904762,"{'n_estimators': 31, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",513.5806451612904,12.0,257.2903225806452,15921,7976,12,31
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=41,
                    random_state=42)",0.9985714285714286,0.6416666666666667,0.6564285714285714,0.016506028583273352,0.35690476190476184,"{'n_estimators': 41, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",523.0487804878048,12.0,262.0243902439024,21445,10743,12,41
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=51,
                    random_state=42)",1.0,0.6533333333333333,0.6664285714285715,0.016536909861128886,0.3466666666666667,"{'n_estimators': 51, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",524.8039215686274,12.0,262.9019607843137,26765,13408,12,51
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=61,
                    random_state=42)",1.0,0.6583333333333333,0.6599999999999999,0.015219482680473235,0.3416666666666667,"{'n_estimators': 61, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",518.2786885245902,12.0,259.6393442622951,31615,15838,12,61
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=71,
                    random_state=42)",1.0,0.665,0.6685714285714285,0.013813628289866934,0.33499999999999996,"{'n_estimators': 71, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",518.4929577464789,12.0,259.7464788732394,36813,18442,12,71
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=81,
                    random_state=42)",1.0,0.6933333333333334,0.6742857142857142,0.012857142857142864,0.30666666666666664,"{'n_estimators': 81, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",517.1728395061729,12.0,259.08641975308643,41891,20986,12,81
"RandomForestOverfit(max_depth=12, max_features=2, n_estimators=91,
                    random_state=42)",1.0,0.6883333333333334,0.6728571428571428,0.010738068841694938,0.31166666666666665,"{'n_estimators': 91, 'max_depth': 12, 'max_features': 2, 'bootstrap': True}",519.065934065934,12.0,260.032967032967,47235,23663,12,91
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=1,
                    random_state=42)",0.7878571428571428,0.475,0.47714285714285715,0.02149988134756057,0.31285714285714283,"{'n_estimators': 1, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",619.0,15.0,310.0,619,310,15,1
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=11,
                    random_state=42)",0.9857142857142858,0.595,0.5964285714285714,0.015811388300841906,0.3907142857142858,"{'n_estimators': 11, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",620.6363636363636,15.0,310.8181818181818,6827,3419,15,11
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=21,
                    random_state=42)",0.9957142857142857,0.635,0.6292857142857142,0.022519832529192093,0.36071428571428565,"{'n_estimators': 21, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",611.4761904761905,15.0,306.23809523809524,12841,6431,15,21
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=31,
                    random_state=42)",0.9992857142857143,0.6583333333333333,0.6642857142857144,0.01564921592871905,0.340952380952381,"{'n_estimators': 31, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",615.4516129032259,15.0,308.2258064516129,19079,9555,15,31
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=41,
                    random_state=42)",1.0,0.6616666666666666,0.675,0.005976143046671986,0.3383333333333334,"{'n_estimators': 41, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",619.780487804878,15.0,310.390243902439,25411,12726,15,41
"RandomForestOverfit(max_depth=15, max_features=2, n_estimators=51,
                    random_state=42)",1.0,0.675,0.6792857142857143,0.008268454930564448,0.32499999999999996,"{'n_estimators': 51, 'max_depth': 15, 'max_features': 2, 'bootstrap': True}",621.9019607843137,15.0,311.45098039215685,31717,15884,15,51
